property_id,check_in_date,room_category,successful_bookings,capacity,Key
17564,02-May-22,RT2,16,40,1756444683RT2
18561,02-May-22,RT2,25,40,1856144683RT2
18560,02-May-22,RT2,26,40,1856044683RT2
17560,02-May-22,RT2,23,45,1756044683RT2
19561,02-May-22,RT2,22,45,1956144683RT2
19563,02-May-22,RT2,20,45,1956344683RT2
19563,02-May-22,RT3,14,29,1956344683RT3
19562,02-May-22,RT3,18,29,1956244683RT3
19561,02-May-22,RT3,17,29,1956144683RT3
18562,02-May-22,RT3,18,29,1856244683RT3
17558,02-May-22,RT3,12,27,1755844683RT3
17562,02-May-22,RT3,12,27,1756244683RT3
19559,02-May-22,RT3,14,27,1955944683RT3
16559,02-May-22,RT3,20,32,1655944683RT3
16558,02-May-22,RT3,5,8,1655844683RT3
18561,02-May-22,RT3,18,25,1856144683RT3
18558,02-May-22,RT3,15,26,1855844683RT3
16561,02-May-22,RT3,13,21,1656144683RT3
16563,02-May-22,RT3,13,20,1656344683RT3
17560,02-May-22,RT3,13,25,1756044683RT3
18560,02-May-22,RT3,14,24,1856044683RT3
17559,02-May-22,RT3,9,16,1755944683RT3
17563,02-May-22,RT3,9,16,1756344683RT3
18559,02-May-22,RT3,9,23,1855944683RT3
19558,02-May-22,RT3,9,21,1955844683RT3
17564,02-May-22,RT3,9,24,1756444683RT3
16560,02-May-22,RT3,10,20,1656044683RT3
17561,02-May-22,RT3,10,19,1756144683RT3
16562,02-May-22,RT3,11,18,1656244683RT3
18563,02-May-22,RT3,11,23,1856344683RT3
19560,02-May-22,RT3,11,19,1956044683RT3
19559,02-May-22,RT4,2,3,1955944683RT4
16558,02-May-22,RT4,2,3,1655844683RT4
17558,02-May-22,RT4,4,6,1755844683RT4
19563,02-May-22,RT4,4,6,1956344683RT4
19558,02-May-22,RT4,4,7,1955844683RT4
19561,02-May-22,RT4,4,7,1956144683RT4
18561,02-May-22,RT4,5,9,1856144683RT4
16561,02-May-22,RT4,6,10,1656144683RT4
17560,02-May-22,RT4,6,13,1756044683RT4
17564,02-May-22,RT4,6,17,1756444683RT4
18560,02-May-22,RT4,11,15,1856044683RT4
19560,02-May-22,RT4,11,16,1956044683RT4
18559,02-May-22,RT4,9,19,1855944683RT4
17563,02-May-22,RT4,12,19,1756344683RT4
19562,02-May-22,RT4,8,14,1956244683RT4
17559,02-May-22,RT4,8,14,1755944683RT4
18558,02-May-22,RT4,10,20,1855844683RT4
18562,02-May-22,RT4,12,20,1856244683RT4
18563,02-May-22,RT4,11,18,1856344683RT4
16563,02-May-22,RT4,12,18,1656344683RT4
16559,02-May-22,RT4,12,18,1655944683RT4
16562,02-May-22,RT4,3,6,1656244683RT4
17562,02-May-22,RT4,3,6,1756244683RT4
16560,02-May-22,RT4,3,7,1656044683RT4
17561,02-May-22,RT4,3,4,1756144683RT4
19563,03-May-22,RT3,15,29,1956344684RT3
16559,03-May-22,RT1,17,30,1655944684RT1
18560,03-May-22,RT1,19,30,1856044684RT1
19562,03-May-22,RT1,19,30,1956244684RT1
19563,03-May-22,RT1,15,30,1956344684RT1
17558,03-May-22,RT1,9,19,1755844684RT1
16558,03-May-22,RT1,14,19,1655844684RT1
17560,03-May-22,RT1,19,40,1756044684RT1
19558,03-May-22,RT1,20,40,1955844684RT1
19560,03-May-22,RT1,14,26,1956044684RT1
17561,03-May-22,RT1,16,26,1756144684RT1
16560,03-May-22,RT1,19,34,1656044684RT1
16561,03-May-22,RT1,10,18,1656144684RT1
16562,03-May-22,RT1,14,31,1656244684RT1
16563,03-May-22,RT1,25,41,1656344684RT1
17559,03-May-22,RT1,20,32,1755944684RT1
17562,03-May-22,RT1,10,20,1756244684RT1
17563,03-May-22,RT1,16,25,1756344684RT1
18558,03-May-22,RT1,8,15,1855844684RT1
18559,03-May-22,RT1,18,42,1855944684RT1
18561,03-May-22,RT1,19,33,1856144684RT1
18562,03-May-22,RT1,23,38,1856244684RT1
18563,03-May-22,RT1,13,27,1856344684RT1
19559,03-May-22,RT1,12,24,1955944684RT1
19561,03-May-22,RT1,20,36,1956144684RT1
17564,03-May-22,RT1,6,16,1756444684RT1
19562,03-May-22,RT2,14,23,1956244684RT2
18563,03-May-22,RT2,14,29,1856344684RT2
17561,03-May-22,RT2,23,36,1756144684RT2
17558,03-May-22,RT2,26,50,1755844684RT2
16562,03-May-22,RT2,19,43,1656244684RT2
16561,03-May-22,RT2,16,24,1656144684RT2
16558,03-May-22,RT2,14,22,1655844684RT2
19560,03-May-22,RT2,25,38,1956044684RT2
16563,03-May-22,RT2,24,38,1656344684RT2
16559,03-May-22,RT2,26,41,1655944684RT2
19559,03-May-22,RT2,22,41,1955944684RT2
19558,03-May-22,RT2,16,39,1955844684RT2
17559,03-May-22,RT2,24,39,1755944684RT2
16560,03-May-22,RT2,16,34,1656044684RT2
18562,03-May-22,RT2,22,34,1856244684RT2
18559,03-May-22,RT2,19,44,1855944684RT2
17563,03-May-22,RT2,30,44,1756344684RT2
17562,03-May-22,RT2,15,30,1756244684RT2
18558,03-May-22,RT2,16,30,1855844684RT2
17564,03-May-22,RT2,16,40,1756444684RT2
18561,03-May-22,RT2,25,40,1856144684RT2
18560,03-May-22,RT2,25,40,1856044684RT2
17560,03-May-22,RT2,22,45,1756044684RT2
19561,03-May-22,RT2,21,45,1956144684RT2
19563,03-May-22,RT2,23,45,1956344684RT2
19562,03-May-22,RT3,18,29,1956244684RT3
19561,03-May-22,RT3,14,29,1956144684RT3
18562,03-May-22,RT3,17,29,1856244684RT3
17558,03-May-22,RT3,15,27,1755844684RT3
17562,03-May-22,RT3,12,27,1756244684RT3
19559,03-May-22,RT3,14,27,1955944684RT3
16559,03-May-22,RT3,21,32,1655944684RT3
16558,03-May-22,RT3,5,8,1655844684RT3
18561,03-May-22,RT3,15,25,1856144684RT3
18560,03-May-22,RT3,15,24,1856044684RT3
16562,03-May-22,RT3,8,18,1656244684RT3
16561,03-May-22,RT3,13,21,1656144684RT3
16563,03-May-22,RT3,13,20,1656344684RT3
18558,03-May-22,RT3,13,26,1855844684RT3
18559,03-May-22,RT3,9,23,1855944684RT3
19558,03-May-22,RT3,9,21,1955844684RT3
16560,03-May-22,RT3,10,20,1656044684RT3
17559,03-May-22,RT3,10,16,1755944684RT3
17563,03-May-22,RT3,10,16,1756344684RT3
17561,03-May-22,RT3,12,19,1756144684RT3
19560,03-May-22,RT3,12,19,1956044684RT3
17560,03-May-22,RT3,11,25,1756044684RT3
18563,03-May-22,RT3,11,23,1856344684RT3
17564,03-May-22,RT3,11,24,1756444684RT3
17562,03-May-22,RT4,2,6,1756244684RT4
16558,03-May-22,RT4,2,3,1655844684RT4
19563,03-May-22,RT4,4,6,1956344684RT4
19561,03-May-22,RT4,4,7,1956144684RT4
18561,03-May-22,RT4,5,9,1856144684RT4
16561,03-May-22,RT4,7,10,1656144684RT4
17560,03-May-22,RT4,7,13,1756044684RT4
19559,03-May-22,RT4,1,3,1955944684RT4
17564,03-May-22,RT4,7,17,1756444684RT4
18560,03-May-22,RT4,9,15,1856044684RT4
19560,03-May-22,RT4,10,16,1956044684RT4
18559,03-May-22,RT4,9,19,1855944684RT4
17563,03-May-22,RT4,11,19,1756344684RT4
19562,03-May-22,RT4,9,14,1956244684RT4
17559,03-May-22,RT4,10,14,1755944684RT4
18558,03-May-22,RT4,10,20,1855844684RT4
18562,03-May-22,RT4,12,20,1856244684RT4
18563,03-May-22,RT4,8,18,1856344684RT4
16563,03-May-22,RT4,11,18,1656344684RT4
16559,03-May-22,RT4,11,18,1655944684RT4
16562,03-May-22,RT4,3,6,1656244684RT4
17558,03-May-22,RT4,3,6,1755844684RT4
16560,03-May-22,RT4,3,7,1656044684RT4
19558,03-May-22,RT4,3,7,1955844684RT4
17561,03-May-22,RT4,3,4,1756144684RT4
19563,04-May-22,RT3,15,29,1956344685RT3
18560,04-May-22,RT1,20,30,1856044685RT1
19562,04-May-22,RT1,17,30,1956244685RT1
19563,04-May-22,RT1,14,30,1956344685RT1
17558,04-May-22,RT1,9,19,1755844685RT1
16558,04-May-22,RT1,13,19,1655844685RT1
17560,04-May-22,RT1,22,40,1756044685RT1
19558,04-May-22,RT1,15,40,1955844685RT1
19560,04-May-22,RT1,16,26,1956044685RT1
17561,04-May-22,RT1,15,26,1756144685RT1
16560,04-May-22,RT1,17,34,1656044685RT1
16561,04-May-22,RT1,11,18,1656144685RT1
16562,04-May-22,RT1,16,31,1656244685RT1
16563,04-May-22,RT1,28,41,1656344685RT1
17559,04-May-22,RT1,19,32,1755944685RT1
17562,04-May-22,RT1,9,20,1756244685RT1
17563,04-May-22,RT1,16,25,1756344685RT1
18558,04-May-22,RT1,7,15,1855844685RT1
18559,04-May-22,RT1,18,42,1855944685RT1
18561,04-May-22,RT1,22,33,1856144685RT1
18562,04-May-22,RT1,25,38,1856244685RT1
18563,04-May-22,RT1,16,27,1856344685RT1
19559,04-May-22,RT1,12,24,1955944685RT1
19561,04-May-22,RT1,16,36,1956144685RT1
17564,04-May-22,RT1,7,16,1756444685RT1
19562,04-May-22,RT2,14,23,1956244685RT2
18563,04-May-22,RT2,16,29,1856344685RT2
17561,04-May-22,RT2,21,36,1756144685RT2
17558,04-May-22,RT2,27,50,1755844685RT2
16562,04-May-22,RT2,21,43,1656244685RT2
16561,04-May-22,RT2,15,24,1656144685RT2
16558,04-May-22,RT2,14,22,1655844685RT2
19560,04-May-22,RT2,21,38,1956044685RT2
16563,04-May-22,RT2,23,38,1656344685RT2
16559,04-May-22,RT2,28,41,1655944685RT2
19559,04-May-22,RT2,22,41,1955944685RT2
19558,04-May-22,RT2,18,39,1955844685RT2
17559,04-May-22,RT2,23,39,1755944685RT2
16560,04-May-22,RT2,20,34,1656044685RT2
18562,04-May-22,RT2,22,34,1856244685RT2
18559,04-May-22,RT2,19,44,1855944685RT2
17563,04-May-22,RT2,29,44,1756344685RT2
17562,04-May-22,RT2,11,30,1756244685RT2
18558,04-May-22,RT2,16,30,1855844685RT2
17564,04-May-22,RT2,18,40,1756444685RT2
18561,04-May-22,RT2,25,40,1856144685RT2
18560,04-May-22,RT2,28,40,1856044685RT2
17560,04-May-22,RT2,20,45,1756044685RT2
19561,04-May-22,RT2,21,45,1956144685RT2
19563,04-May-22,RT2,20,45,1956344685RT2
16559,04-May-22,RT1,21,30,1655944685RT1
19562,04-May-22,RT3,20,29,1956244685RT3
19561,04-May-22,RT3,13,29,1956144685RT3
18562,04-May-22,RT3,16,29,1856244685RT3
17558,04-May-22,RT3,12,27,1755844685RT3
17562,04-May-22,RT3,9,27,1756244685RT3
19559,04-May-22,RT3,14,27,1955944685RT3
16559,04-May-22,RT3,19,32,1655944685RT3
16558,04-May-22,RT3,6,8,1655844685RT3
18561,04-May-22,RT3,16,25,1856144685RT3
18560,04-May-22,RT3,17,24,1856044685RT3
17563,04-May-22,RT3,8,16,1756344685RT3
17564,04-May-22,RT3,8,24,1756444685RT3
16561,04-May-22,RT3,14,21,1656144685RT3
17560,04-May-22,RT3,14,25,1756044685RT3
18558,04-May-22,RT3,14,26,1855844685RT3
19558,04-May-22,RT3,9,21,1955844685RT3
16560,04-May-22,RT3,10,20,1656044685RT3
17561,04-May-22,RT3,10,19,1756144685RT3
18559,04-May-22,RT3,10,23,1855944685RT3
16563,04-May-22,RT3,12,20,1656344685RT3
17559,04-May-22,RT3,12,16,1755944685RT3
16562,04-May-22,RT3,11,18,1656244685RT3
18563,04-May-22,RT3,11,23,1856344685RT3
19560,04-May-22,RT3,11,19,1956044685RT3
17562,04-May-22,RT4,2,6,1756244685RT4
19559,04-May-22,RT4,2,3,1955944685RT4
16558,04-May-22,RT4,2,3,1655844685RT4
18561,04-May-22,RT4,4,9,1856144685RT4
16561,04-May-22,RT4,5,10,1656144685RT4
17560,04-May-22,RT4,6,13,1756044685RT4
17564,04-May-22,RT4,9,17,1756444685RT4
18560,04-May-22,RT4,10,15,1856044685RT4
19560,04-May-22,RT4,11,16,1956044685RT4
18559,04-May-22,RT4,8,19,1855944685RT4
17563,04-May-22,RT4,11,19,1756344685RT4
19562,04-May-22,RT4,8,14,1956244685RT4
17559,04-May-22,RT4,9,14,1755944685RT4
18558,04-May-22,RT4,11,20,1855844685RT4
18562,04-May-22,RT4,12,20,1856244685RT4
18563,04-May-22,RT4,8,18,1856344685RT4
16563,04-May-22,RT4,12,18,1656344685RT4
16559,04-May-22,RT4,11,18,1655944685RT4
16562,04-May-22,RT4,3,6,1656244685RT4
17558,04-May-22,RT4,3,6,1755844685RT4
19563,04-May-22,RT4,3,6,1956344685RT4
16560,04-May-22,RT4,3,7,1656044685RT4
19558,04-May-22,RT4,3,7,1955844685RT4
19561,04-May-22,RT4,3,7,1956144685RT4
17561,04-May-22,RT4,3,4,1756144685RT4
16559,05-May-22,RT1,16,30,1655944686RT1
18560,05-May-22,RT1,15,30,1856044686RT1
19562,05-May-22,RT1,19,30,1956244686RT1
19563,05-May-22,RT1,14,30,1956344686RT1
17558,05-May-22,RT1,10,19,1755844686RT1
16558,05-May-22,RT1,12,19,1655844686RT1
17560,05-May-22,RT1,20,40,1756044686RT1
19558,05-May-22,RT1,18,40,1955844686RT1
19560,05-May-22,RT1,18,26,1956044686RT1
17561,05-May-22,RT1,15,26,1756144686RT1
16560,05-May-22,RT1,17,34,1656044686RT1
16561,05-May-22,RT1,13,18,1656144686RT1
16562,05-May-22,RT1,15,31,1656244686RT1
16563,05-May-22,RT1,30,41,1656344686RT1
17559,05-May-22,RT1,21,32,1755944686RT1
17562,05-May-22,RT1,8,20,1756244686RT1
17563,05-May-22,RT1,18,25,1756344686RT1
18558,05-May-22,RT1,8,15,1855844686RT1
18559,05-May-22,RT1,16,42,1855944686RT1
18561,05-May-22,RT1,25,33,1856144686RT1
18562,05-May-22,RT1,24,38,1856244686RT1
18563,05-May-22,RT1,14,27,1856344686RT1
19559,05-May-22,RT1,13,24,1955944686RT1
19561,05-May-22,RT1,17,36,1956144686RT1
17564,05-May-22,RT1,6,16,1756444686RT1
19562,05-May-22,RT2,15,23,1956244686RT2
18563,05-May-22,RT2,14,29,1856344686RT2
17561,05-May-22,RT2,25,36,1756144686RT2
17558,05-May-22,RT2,29,50,1755844686RT2
16562,05-May-22,RT2,20,43,1656244686RT2
16561,05-May-22,RT2,15,24,1656144686RT2
16558,05-May-22,RT2,13,22,1655844686RT2
19560,05-May-22,RT2,27,38,1956044686RT2
16563,05-May-22,RT2,25,38,1656344686RT2
16559,05-May-22,RT2,24,41,1655944686RT2
19559,05-May-22,RT2,23,41,1955944686RT2
19558,05-May-22,RT2,20,39,1955844686RT2
17559,05-May-22,RT2,26,39,1755944686RT2
16560,05-May-22,RT2,19,34,1656044686RT2
18562,05-May-22,RT2,22,34,1856244686RT2
18559,05-May-22,RT2,22,44,1855944686RT2
17563,05-May-22,RT2,28,44,1756344686RT2
17562,05-May-22,RT2,13,30,1756244686RT2
18558,05-May-22,RT2,15,30,1855844686RT2
17564,05-May-22,RT2,18,40,1756444686RT2
18561,05-May-22,RT2,26,40,1856144686RT2
18560,05-May-22,RT2,26,40,1856044686RT2
17560,05-May-22,RT2,20,45,1756044686RT2
19561,05-May-22,RT2,21,45,1956144686RT2
19563,05-May-22,RT2,22,45,1956344686RT2
19563,05-May-22,RT3,14,29,1956344686RT3
19562,05-May-22,RT3,19,29,1956244686RT3
19561,05-May-22,RT3,14,29,1956144686RT3
18562,05-May-22,RT3,18,29,1856244686RT3
17558,05-May-22,RT3,14,27,1755844686RT3
17562,05-May-22,RT3,11,27,1756244686RT3
19559,05-May-22,RT3,14,27,1955944686RT3
16559,05-May-22,RT3,20,32,1655944686RT3
16558,05-May-22,RT3,4,8,1655844686RT3
18561,05-May-22,RT3,15,25,1856144686RT3
18560,05-May-22,RT3,16,24,1856044686RT3
17560,05-May-22,RT3,13,25,1756044686RT3
16563,05-May-22,RT3,14,20,1656344686RT3
16562,05-May-22,RT3,9,18,1656244686RT3
19558,05-May-22,RT3,9,21,1955844686RT3
16560,05-May-22,RT3,10,20,1656044686RT3
17559,05-May-22,RT3,10,16,1755944686RT3
17563,05-May-22,RT3,10,16,1756344686RT3
18559,05-May-22,RT3,10,23,1855944686RT3
16561,05-May-22,RT3,12,21,1656144686RT3
18558,05-May-22,RT3,12,26,1855844686RT3
19560,05-May-22,RT3,12,19,1956044686RT3
17564,05-May-22,RT3,12,24,1756444686RT3
17561,05-May-22,RT3,11,19,1756144686RT3
18563,05-May-22,RT3,11,23,1856344686RT3
19559,05-May-22,RT4,2,3,1955944686RT4
16558,05-May-22,RT4,2,3,1655844686RT4
16560,05-May-22,RT4,4,7,1656044686RT4
19561,05-May-22,RT4,4,7,1956144686RT4
18561,05-May-22,RT4,5,9,1856144686RT4
16561,05-May-22,RT4,6,10,1656144686RT4
17560,05-May-22,RT4,6,13,1756044686RT4
17564,05-May-22,RT4,7,17,1756444686RT4
18560,05-May-22,RT4,10,15,1856044686RT4
19560,05-May-22,RT4,10,16,1956044686RT4
18559,05-May-22,RT4,8,19,1855944686RT4
17563,05-May-22,RT4,12,19,1756344686RT4
19562,05-May-22,RT4,9,14,1956244686RT4
17559,05-May-22,RT4,8,14,1755944686RT4
18558,05-May-22,RT4,11,20,1855844686RT4
18562,05-May-22,RT4,12,20,1856244686RT4
18563,05-May-22,RT4,10,18,1856344686RT4
16563,05-May-22,RT4,12,18,1656344686RT4
16559,05-May-22,RT4,13,18,1655944686RT4
16562,05-May-22,RT4,3,6,1656244686RT4
17558,05-May-22,RT4,3,6,1755844686RT4
17562,05-May-22,RT4,3,6,1756244686RT4
19563,05-May-22,RT4,3,6,1956344686RT4
19558,05-May-22,RT4,3,7,1955844686RT4
17561,05-May-22,RT4,3,4,1756144686RT4
16559,06-May-22,RT1,21,30,1655944687RT1
18560,06-May-22,RT1,20,30,1856044687RT1
19562,06-May-22,RT1,18,30,1956244687RT1
19563,06-May-22,RT1,15,30,1956344687RT1
17558,06-May-22,RT1,9,19,1755844687RT1
16558,06-May-22,RT1,10,19,1655844687RT1
17560,06-May-22,RT1,18,40,1756044687RT1
19558,06-May-22,RT1,18,40,1955844687RT1
19560,06-May-22,RT1,17,26,1956044687RT1
17561,06-May-22,RT1,16,26,1756144687RT1
16560,06-May-22,RT1,19,34,1656044687RT1
16561,06-May-22,RT1,12,18,1656144687RT1
16562,06-May-22,RT1,14,31,1656244687RT1
16563,06-May-22,RT1,23,41,1656344687RT1
17559,06-May-22,RT1,19,32,1755944687RT1
17562,06-May-22,RT1,8,20,1756244687RT1
17563,06-May-22,RT1,14,25,1756344687RT1
18558,06-May-22,RT1,7,15,1855844687RT1
18559,06-May-22,RT1,18,42,1855944687RT1
18561,06-May-22,RT1,23,33,1856144687RT1
18562,06-May-22,RT1,24,38,1856244687RT1
18563,06-May-22,RT1,12,27,1856344687RT1
19559,06-May-22,RT1,14,24,1955944687RT1
19561,06-May-22,RT1,20,36,1956144687RT1
17564,06-May-22,RT1,7,16,1756444687RT1
19562,06-May-22,RT2,18,23,1956244687RT2
18563,06-May-22,RT2,15,29,1856344687RT2
17561,06-May-22,RT2,20,36,1756144687RT2
17558,06-May-22,RT2,29,50,1755844687RT2
16562,06-May-22,RT2,24,43,1656244687RT2
16561,06-May-22,RT2,14,24,1656144687RT2
16558,06-May-22,RT2,15,22,1655844687RT2
19560,06-May-22,RT2,22,38,1956044687RT2
16563,06-May-22,RT2,27,38,1656344687RT2
16559,06-May-22,RT2,23,41,1655944687RT2
19559,06-May-22,RT2,20,41,1955944687RT2
19558,06-May-22,RT2,14,39,1955844687RT2
17559,06-May-22,RT2,25,39,1755944687RT2
16560,06-May-22,RT2,18,34,1656044687RT2
18562,06-May-22,RT2,26,34,1856244687RT2
18559,06-May-22,RT2,20,44,1855944687RT2
17563,06-May-22,RT2,28,44,1756344687RT2
17562,06-May-22,RT2,12,30,1756244687RT2
18558,06-May-22,RT2,17,30,1855844687RT2
17564,06-May-22,RT2,18,40,1756444687RT2
18561,06-May-22,RT2,23,40,1856144687RT2
18560,06-May-22,RT2,24,40,1856044687RT2
17560,06-May-22,RT2,22,45,1756044687RT2
19561,06-May-22,RT2,24,45,1956144687RT2
19563,06-May-22,RT2,23,45,1956344687RT2
19563,06-May-22,RT3,14,29,1956344687RT3
19562,06-May-22,RT3,20,29,1956244687RT3
19561,06-May-22,RT3,13,29,1956144687RT3
18562,06-May-22,RT3,21,29,1856244687RT3
17558,06-May-22,RT3,12,27,1755844687RT3
17562,06-May-22,RT3,10,27,1756244687RT3
19559,06-May-22,RT3,13,27,1955944687RT3
